"id","date","lc","lon","lat"
"160424_2016_106745",2016-08-28 20:42:00,"B",-69.432,41.509
"160424_2016_106745",2016-08-28 20:43:00,"B",-69.4325,41.5093
"160424_2016_106745",2016-08-28 22:24:00,"A",-69.382,41.503
"160424_2016_106745",2016-08-28 22:28:00,"A",-69.3821,41.5025
"160424_2016_106745",2016-08-29 01:43:00,"B",-69.347,41.491
"160424_2016_106745",2016-08-29 01:47:00,"B",-69.3468,41.4905
"160424_2016_106745",2016-08-29 02:39:00,"B",-69.497,41.613
"160424_2016_106745",2016-08-29 07:19:00,"1",-69.218,41.401
"160424_2016_106745",2016-08-29 07:25:00,"1",-69.218,41.401
"160424_2016_106745",2016-08-29 11:03:00,"1",-69.1922,41.4298
"160424_2016_106745",2016-08-29 11:07:00,"1",-69.192,41.43
"160424_2016_106745",2016-08-29 20:25:00,"1",-69.0699,41.3573
"160424_2016_106745",2016-08-29 20:30:00,"1",-69.117,41.307
"160424_2016_106745",2016-08-29 20:32:00,"1",-69.1172,41.3072
"160424_2016_106745",2016-08-29 21:25:00,"A",-69.0892,41.2781
"160424_2016_106745",2016-08-29 23:03:00,"1",-69.085,41.349
"160424_2016_106745",2016-08-29 23:07:00,"1",-69.0849,41.3488
"160424_2016_106745",2016-08-29 23:15:00,"0",-69.1408,41.2776
"160424_2016_106745",2016-08-29 23:41:00,"A",-68.927,41.1275
"160424_2016_106745",2016-08-30 00:29:00,"A",-68.424,41.396
"160424_2016_106745",2016-08-30 17:02:00,"0",-69.2887,41.3213
"160424_2016_106745",2016-08-30 18:41:00,"1",-69.302,41.298
"160424_2016_106745",2016-08-30 19:56:00,"0",-69.336,41.287
"160424_2016_106745",2016-08-30 19:59:00,"0",-69.3356,41.2873
"160424_2016_106745",2016-08-30 21:31:00,"B",-69.443,41.351
"160424_2016_106745",2016-08-30 21:32:00,"B",-69.4433,41.3515
"160424_2016_106745",2016-08-31 00:19:00,"0",-69.4801,41.4113
"160424_2016_106745",2016-08-31 00:20:00,"0",-69.48,41.411
"160424_2016_106745",2016-08-31 18:28:00,"A",-69.2954,41.3119
"160424_2016_106745",2016-08-31 20:58:00,"1",-69.305,41.263
"160424_2016_106745",2016-08-31 21:02:00,"1",-69.3046,41.263
"160424_2016_106745",2016-08-31 22:13:00,"2",-69.3328,41.277
"160424_2016_106745",2016-08-31 22:17:00,"2",-69.333,41.277
"160424_2016_106745",2016-08-31 22:40:00,"0",-69.327,41.277
"160424_2016_106745",2016-08-31 22:44:00,"0",-69.3265,41.2771
"160424_2016_106745",2016-08-31 22:52:00,"1",-69.3311,41.2795
"160424_2016_106745",2016-09-01 18:13:00,"A",-69.088,41.338
"160424_2016_106745",2016-09-01 22:24:00,"2",-69.141,41.368
"160424_2016_106745",2016-09-01 22:26:00,"0",-77.041,40.118
"160424_2016_106745",2016-09-02 02:51:00,"A",-69.153,41.443
"160424_2016_106745",2016-09-02 06:39:00,"1",-69.147,41.479
"160424_2016_106745",2016-09-02 10:37:00,"1",-69.152,41.482
"160424_2016_106745",2016-09-02 10:39:00,"0",-69.147,41.478
"160424_2016_106745",2016-09-02 18:06:00,"1",-69.25,41.682
"160424_2016_106745",2016-09-03 17:58:00,"0",-69.228,41.686
"160424_2016_106745",2016-09-03 22:07:00,"0",-69.147,41.665
"160424_2016_106745",2016-09-03 22:19:00,"2",-69.141,41.663
"160424_2016_106745",2016-09-04 17:41:00,"A",-68.96,41.61
"160424_2016_106745",2016-09-04 19:26:00,"2",-69.078,41.532
"160424_2016_106745",2016-09-04 21:50:00,"0",-69.085,41.452
"160424_2016_106745",2016-09-04 21:56:00,"1",-69.066,41.443
"160424_2016_106745",2016-09-04 23:35:00,"0",-69.135,41.401
"160424_2016_106745",2016-09-05 17:33:00,"2",-69.333,41.617
"160424_2016_106745",2016-09-05 22:28:00,"1",-69.349,41.705
"160424_2016_106745",2016-09-05 23:26:00,"0",-69.344,41.679
"160424_2016_106745",2016-09-05 23:47:00,"0",-69.346,41.682
"160424_2016_106745",2016-09-06 00:36:00,"B",-69.342,41.666
"160424_2016_106745",2016-09-06 00:41:00,"B",-69.331,41.718
"160424_2016_106745",2016-09-06 01:26:00,"0",-69.391,41.66
"160424_2016_106745",2016-09-06 19:01:00,"1",-69.353,41.386
"160424_2016_106745",2016-09-06 20:23:00,"1",-69.293,41.369
"160424_2016_106745",2016-09-07 19:57:00,"A",-69.21,41.633
"160424_2016_106745",2016-09-07 21:22:00,"1",-69.221,41.595
"160424_2016_106745",2016-09-07 21:37:00,"1",-69.214,41.597
"160424_2016_106745",2016-09-08 17:03:00,"A",-69.34,41.771
"160424_2016_106745",2016-09-08 21:07:00,"A",-69.29,41.854
"160424_2016_106745",2016-09-09 20:09:00,"1",-69.096,42.078
"160424_2016_106745",2016-09-10 01:45:00,"1",-69.141,42.089
"160424_2016_106745",2016-09-10 18:16:00,"2",-69.316,42.037
"160424_2016_106745",2016-09-11 01:20:00,"B",-69.467,42.074
"160424_2016_106745",2016-09-11 01:24:00,"0",-69.46,42.081
"160424_2016_106745",2016-09-11 06:36:00,"B",-69.638,42.053
"160424_2016_106745",2016-09-11 09:21:00,"A",-69.586,42.104
"160424_2016_106745",2016-09-12 08:48:00,"1",-69.665,42.138
"160424_2016_106745",2016-09-13 07:53:00,"B",-69.908,42.156
"160424_2016_106745",2016-09-13 08:19:00,"A",-69.908,42.168
"160424_2016_106745",2016-09-13 09:35:00,"0",-69.849,42.139
"160424_2016_106745",2016-09-13 10:26:00,"0",-69.833,42.137
"160424_2016_106745",2016-09-13 11:38:00,"A",-69.871,42.094
"160424_2016_106745",2016-09-13 20:13:00,"A",-69.595,42.189
"160424_2016_106745",2016-09-14 02:02:00,"A",-69.493,42.146
"160424_2016_106745",2016-09-14 06:04:00,"B",-69.368,42.083
"160424_2016_106745",2016-09-14 17:32:00,"0",-69.162,42.04
"160424_2016_106745",2016-09-14 19:07:00,"0",-69.056,42.068
"160424_2016_106745",2016-09-14 23:15:00,"B",-68.997,41.928
"160424_2016_106745",2016-09-14 23:25:00,"A",-69.425,41.955
"160424_2016_106745",2016-09-15 01:40:00,"1",-69.303,41.897
"160424_2016_106745",2016-09-15 17:20:00,"0",-69.379,41.714
"160424_2016_106745",2016-09-15 19:01:00,"0",-69.345,41.654
"160424_2016_106745",2016-09-15 21:27:00,"1",-69.221,41.631
"160424_2016_106745",2016-09-16 17:07:00,"2",-69.242,41.382
"160424_2016_106745",2016-09-16 18:47:00,"1",-69.214,41.31
"160424_2016_106745",2016-09-17 18:33:00,"0",-69.402,41.34
"160424_2016_106745",2016-09-17 20:16:00,"2",-69.421,41.344
"160424_2016_106745",2016-09-18 20:56:00,"0",-69.215,41.396
"160424_2016_106745",2016-09-18 22:35:00,"2",-69.249,41.379
"160424_2016_106745",2016-09-18 22:51:00,"2",-69.257,41.377
"160424_2016_106745",2016-09-18 23:40:00,"B",-69.342,41.357
"160424_2016_106745",2016-09-19 00:18:00,"B",-69.295,41.388
"160424_2016_106745",2016-09-19 00:19:00,"1",-69.302,41.378
"160424_2016_106745",2016-09-19 00:33:00,"1",-69.309,41.39
"160424_2016_106745",2016-09-19 01:08:00,"B",-69.197,41.327
"160424_2016_106745",2016-09-19 20:45:00,"A",-69.355,41.431
"160424_2016_106745",2016-09-20 17:58:00,"A",-69.297,41.64
"160424_2016_106745",2016-09-20 19:39:00,"0",-69.41,41.625
"160424_2016_106745",2016-09-20 22:14:00,"A",-69.439,41.543
"160424_2016_106745",2016-09-20 23:30:00,"2",-69.434,41.515
"160424_2016_106745",2016-09-20 23:52:00,"B",-69.445,41.509
"160424_2016_106745",2016-09-21 00:29:00,"A",-69.483,41.477
"160424_2016_106745",2016-09-23 09:24:00,"2",-69.306,41.533
"160424_2016_106745",2016-09-23 09:45:00,"B",-69.321,41.544
"160424_2016_106745",2016-09-23 11:52:00,"0",-69.335,41.538
"160424_2016_106745",2016-09-24 18:57:00,"0",-69.398,41.512
"160424_2016_106745",2016-09-24 22:55:00,"1",-69.365,41.526
"160424_2016_106745",2016-09-25 17:06:00,"1",-69.132,41.656
"160424_2016_106745",2016-09-25 20:28:00,"B",-69.129,41.618
"160424_2016_106745",2016-09-25 21:17:00,"A",-69.105,41.682
"160424_2016_106745",2016-09-26 20:16:00,"1",-69.283,41.302
"160424_2016_106745",2016-09-26 22:01:00,"2",-69.253,41.309
"160424_2016_106745",2016-09-26 22:02:00,"0",-69.19,41.323
"160424_2016_106745",2016-09-27 23:18:00,"0",-69.293,41.314
"160424_2016_106745",2016-09-29 01:49:00,"B",-69.292,41.377
"160424_2016_106745",2016-09-29 18:00:00,"2",-69.269,41.395
"160424_2016_106745",2016-09-29 19:41:00,"2",-69.326,41.381
"160424_2016_106745",2016-09-30 21:37:00,"A",-69.194,41.182
