id,date,lon,lat
NSBS-Blue Rodeo (Rick Mercer),2015-07-05 23:44:45,-63.46218,44.41458
NSBS-Blue Rodeo (Rick Mercer),2015-06-17 15:16:24,-63.20007,44.17948
NSBS-Blue Rodeo (Rick Mercer),2014-09-12 03:20:50,-63.21268,44.19071
NSBS-Blue Rodeo (Rick Mercer),2015-09-23 14:52:57,-63.26195,44.23626
NSBS-Blue Rodeo (Rick Mercer),2015-09-23 15:08:27,-63.26195,44.23626
NSBS-Blue Rodeo (Rick Mercer),2015-11-09 10:44:37,-63.44258,44.39703
NSBS-Blue Rodeo (Rick Mercer),2015-10-20 01:03:30,-63.3713,44.33408
NSBS-Blue Rodeo (Rick Mercer),2015-10-20 00:42:05,-63.3713,44.33408
NSBS-Blue Rodeo (Rick Mercer),2015-09-20 00:01:21,-63.28784,44.25865
NSBS-Blue Rodeo (Rick Mercer),2015-09-20 03:04:00,-63.28784,44.25865
NSBS-Blue Rodeo (Rick Mercer),2015-06-17 17:24:18,-63.24336,44.21905
NSBS-Blue Rodeo (Rick Mercer),2014-09-07 23:08:58,-63.26195,44.23626
NSBS-Blue Rodeo (Rick Mercer),2015-10-20 10:51:30,-63.44875,44.403
NSBS-Blue Rodeo (Rick Mercer),2015-10-20 11:07:52,-63.44875,44.403
NSBS-Blue Rodeo (Rick Mercer),2014-09-09 14:13:38,-63.21911,44.19641
NSBS-Blue Rodeo (Rick Mercer),2014-09-09 23:28:26,-63.21911,44.19641
NSBS-Blue Rodeo (Rick Mercer),2014-09-16 00:33:42,-63.33867,44.30479
NSBS-Blue Rodeo (Rick Mercer),2015-06-18 07:00:22,-63.33237,44.29906
NSBS-Blue Rodeo (Rick Mercer),2015-06-18 06:48:29,-63.33237,44.29906
NSBS-Blue Rodeo (Rick Mercer),2014-11-07 23:59:58,-63.49961,43.19744
NSBS-Blue Rodeo (Rick Mercer),2015-10-22 00:48:36,-63.17499,44.15686
NSBS-Blue Rodeo (Rick Mercer),2014-09-17 23:01:40,-63.1121,44.10001
NSBS-Blue Rodeo (Rick Mercer),2014-09-17 22:52:53,-63.1121,44.10001
NSBS-Blue Rodeo (Rick Mercer),2015-09-22 13:42:09,-63.31992,44.28729
NSBS-Blue Rodeo (Rick Mercer),2015-09-22 14:00:26,-63.31992,44.28729
NSBS-Blue Rodeo (Rick Mercer),2015-09-25 10:17:42,-63.20007,44.17948
NSBS-Blue Rodeo (Rick Mercer),2015-09-25 11:01:49,-63.20007,44.17948
NSBS-Blue Rodeo (Rick Mercer),2014-09-17 23:41:48,-63.10097,44.08804
NSBS-Blue Rodeo (Rick Mercer),2015-06-17 16:05:11,-63.21911,44.19641
NSBS-Blue Rodeo (Rick Mercer),2015-09-26 03:11:17,-63.23096,44.20579
NSBS-Blue Rodeo (Rick Mercer),2016-05-01 19:24:44,-63.50017,43.06784
NSBS-Blue Rodeo (Rick Mercer),2015-09-26 02:31:23,-63.21911,44.19641
NSBS-Blue Rodeo (Rick Mercer),2015-06-17 15:49:25,-63.21268,44.19071
NSBS-Blue Rodeo (Rick Mercer),2015-06-17 16:00:44,-63.21268,44.19071
NSBS-Blue Rodeo (Rick Mercer),2015-06-15 23:47:45,-63.09389,44.04098
NSBS-Blue Rodeo (Rick Mercer),2014-09-01 23:28:30,-63.3131,44.28173
NSBS-Blue Rodeo (Rick Mercer),2016-05-02 12:08:48,-63.50012,43.11846
NSBS-Blue Rodeo (Rick Mercer),2015-10-27 14:02:11,-63.4169,44.37417
NSBS-Blue Rodeo (Rick Mercer),2014-09-01 23:35:05,-63.32598,44.29311
NSBS-Blue Rodeo (Rick Mercer),2015-09-25 10:10:55,-63.19376,44.17387
NSBS-Blue Rodeo (Rick Mercer),2016-05-01 18:19:23,-63.49983,43.05329
NSBS-Blue Rodeo (Rick Mercer),2016-05-01 20:01:31,-63.50017,43.06784
NSBS-Blue Rodeo (Rick Mercer),2015-09-25 01:59:48,-63.25971,44.23196
NSBS-Blue Rodeo (Rick Mercer),2015-09-25 02:01:48,-63.25971,44.23196
NSBS-Blue Rodeo (Rick Mercer),2015-09-25 02:33:57,-63.27502,44.24714
NSBS-Blue Rodeo (Rick Mercer),2015-06-17 20:01:46,-63.29844,44.27141
NSBS-Blue Rodeo (Rick Mercer),2015-06-17 19:52:50,-63.29844,44.27141
NSBS-Blue Rodeo (Rick Mercer),2014-10-06 02:23:29,-63.2246,44.20203
NSBS-Blue Rodeo (Rick Mercer),2014-09-13 22:33:48,-63.36093,44.32302
NSBS-Blue Rodeo (Rick Mercer),2014-09-13 23:00:30,-63.36093,44.32302
NSBS-Blue Rodeo (Rick Mercer),2014-09-14 21:20:22,-63.21268,44.19071
NSBS-Blue Rodeo (Rick Mercer),2015-06-16 00:01:30,-63.09863,44.03463
NSBS-Blue Rodeo (Rick Mercer),2015-04-12 17:34:24,-63.47105,43.53817
NSBS-Blue Rodeo (Rick Mercer),2015-09-23 22:01:28,-63.21268,44.19071
NSBS-Blue Rodeo (Rick Mercer),2015-09-23 21:18:10,-63.21268,44.19071
NSBS-Blue Rodeo (Rick Mercer),2015-06-17 14:55:17,-63.19376,44.17387
NSBS-Blue Rodeo (Rick Mercer),2015-06-17 15:01:25,-63.19376,44.17387
NSBS-Blue Rodeo (Rick Mercer),2015-09-23 16:25:52,-63.23715,44.2133
