id,date,lon,lat
NSBS-Bonkers,2014-10-20 19:04:42,-63.0792,44.05994
NSBS-Bonkers,2014-10-20 18:09:21,-63.0792,44.05994
NSBS-Bonkers,2014-09-26 02:11:06,-63.28102,44.25293
NSBS-Bonkers,2014-10-20 18:40:10,-63.08357,44.05354
NSBS-Bonkers,2014-10-20 17:37:39,-63.08357,44.05354
NSBS-Bonkers,2014-10-27 22:25:54,-63.40008,43.68508
NSBS-Bonkers,2014-09-27 06:03:40,-63.23135,44.20696
NSBS-Bonkers,2014-09-27 07:00:48,-63.23135,44.20696
NSBS-Bonkers,2014-09-27 08:04:59,-63.23135,44.20696
NSBS-Bonkers,2014-09-28 17:30:57,-63.17499,44.15686
NSBS-Bonkers,2014-09-28 18:02:50,-63.17499,44.15686
NSBS-Bonkers,2015-07-03 09:54:04,-63.11176,44.01518
NSBS-Bonkers,2015-05-19 15:24:44,-63.49996,43.06054
NSBS-Bonkers,2014-10-28 05:22:03,-63.481,43.52528
NSBS-Bonkers,2014-10-20 19:08:14,-63.07414,44.06625
NSBS-Bonkers,2014-08-31 11:06:28,-63.16195,44.14552
NSBS-Bonkers,2014-08-28 13:08:51,-63.28784,44.25865
NSBS-Bonkers,2014-09-28 04:30:47,-63.09863,44.03463
NSBS-Bonkers,2014-09-28 05:05:23,-63.09863,44.03463
NSBS-Bonkers,2014-10-28 06:49:56,-63.47105,43.53817
NSBS-Bonkers,2014-10-28 07:23:37,-63.47105,43.53817
NSBS-Bonkers,2014-10-28 05:59:38,-63.47105,43.53817
NSBS-Bonkers,2014-11-10 08:17:51,-63.2469,43.84738
NSBS-Bonkers,2014-10-28 03:49:06,-63.46672,43.5442
NSBS-Bonkers,2014-09-25 23:30:06,-63.23715,44.2133
NSBS-Bonkers,2014-08-25 03:54:21,-63.19376,44.17387
NSBS-Bonkers,2014-08-25 04:01:38,-63.19376,44.17387
NSBS-Bonkers,2014-09-21 23:41:03,-63.31992,44.28729
NSBS-Bonkers,2014-09-27 09:04:41,-63.21268,44.19071
NSBS-Bonkers,2014-09-19 16:39:10,-63.24336,44.21905
NSBS-Bonkers,2014-09-19 17:00:09,-63.24336,44.21905
NSBS-Bonkers,2015-05-19 16:11:21,-63.50005,43.03187
NSBS-Bonkers,2014-09-28 17:56:50,-63.18116,44.16265
NSBS-Bonkers,2014-10-27 21:44:47,-63.39574,43.70638
NSBS-Bonkers,2014-09-07 18:40:11,-63.16853,44.15139
NSBS-Bonkers,2014-09-07 19:00:52,-63.16853,44.15139
NSBS-Bonkers,2015-07-03 09:23:45,-63.11657,44.00873
NSBS-Bonkers,2014-10-16 02:25:31,-63.16853,44.15139
NSBS-Bonkers,2015-07-03 05:39:20,-63.07414,44.06625
NSBS-Bonkers,2015-07-03 06:01:02,-63.07414,44.06625
NSBS-Bonkers,2015-10-20 03:00:03,-63.36478,44.32771
NSBS-Bonkers,2015-10-20 02:42:41,-63.36478,44.32771
NSBS-Bonkers,2014-08-28 07:02:02,-63.31992,44.28729
NSBS-Bonkers,2014-09-27 11:03:52,-63.20632,44.18508
NSBS-Bonkers,2014-09-27 10:00:36,-63.20632,44.18508
NSBS-Bonkers,2014-10-19 09:24:20,-63.16522,43.94532
NSBS-Bonkers,2014-10-21 14:46:30,-63.07414,44.06625
NSBS-Bonkers,2014-08-31 12:05:05,-63.17499,44.15686
NSBS-Bonkers,2014-08-31 11:43:40,-63.17499,44.15686
