id,date,lon,lat
NSBS-ELVIRE,2015-09-11 04:15:32,-60.06146,47.25707
NSBS-ELVIRE,2015-08-07 22:30:48,-59.78506,47.39088
NSBS-ELVIRE,2015-09-12 02:24:23,-60.14968,47.31319
NSBS-ELVIRE,2015-08-20 18:05:09,-59.88881,47.34082
NSBS-ELVIRE,2015-08-07 22:26:26,-59.77634,47.39505
NSBS-ELVIRE,2015-08-20 10:55:46,-60.07145,47.41431
NSBS-ELVIRE,2015-08-20 11:01:16,-60.07145,47.41431
NSBS-ELVIRE,2015-09-11 17:13:56,-60.06146,47.25707
NSBS-ELVIRE,2015-09-11 04:24:02,-60.0449,47.26487
NSBS-ELVIRE,2015-09-06 08:46:16,-59.5252,47.51638
NSBS-ELVIRE,2015-09-12 03:22:11,-60.17902,47.3852
NSBS-ELVIRE,2015-08-20 10:46:29,-60.08111,47.41168
NSBS-ELVIRE,2015-09-11 17:19:59,-60.05259,47.26131
NSBS-ELVIRE,2015-10-12 18:55:37,-59.7938,47.38675
NSBS-ELVIRE,2015-09-06 08:44:10,-59.51616,47.52056
NSBS-ELVIRE,2015-07-14 00:00:00,-63.18294,44.21995
NSBS-ELVIRE,2015-09-11 04:08:53,-60.05259,47.26131
NSBS-ELVIRE,2015-08-20 17:44:52,-59.90581,47.33234
NSBS-ELVIRE,2015-09-11 17:50:50,-60.0449,47.26487
NSBS-ELVIRE,2015-09-12 02:29:51,-60.16018,47.39088
NSBS-ELVIRE,2015-08-20 17:51:51,-59.8973,47.33637
NSBS-ELVIRE,2015-08-20 18:01:06,-59.8973,47.33637
