id,date,lon,lat
NSBS-Hayley,2013-08-03 10:05:45,-63.22483,44.2021
NSBS-Hayley,2014-07-22 12:18:03,-63.20632,44.18508
NSBS-Hayley,2014-06-26 03:27:01,-63.16522,43.94532
NSBS-Hayley,2014-06-26 20:43:03,-63.08357,44.05354
NSBS-Hayley,2014-06-23 21:33:56,-63.0792,44.05994
NSBS-Hayley,2014-06-26 20:31:35,-63.08809,44.04911
NSBS-Hayley,2014-07-18 01:40:17,-63.48128,44.43244
NSBS-Hayley,2014-07-18 02:00:45,-63.48128,44.43244
NSBS-Hayley,2014-06-24 17:03:09,-63.08086,44.07209
NSBS-Hayley,2014-06-24 16:24:52,-63.08086,44.07209
NSBS-Hayley,2014-06-24 18:01:10,-63.0792,44.05994
NSBS-Hayley,2014-06-24 17:35:40,-63.0792,44.05994
NSBS-Hayley,2013-08-03 10:00:05,-63.21849,44.19647
NSBS-Hayley,2013-08-03 09:27:54,-63.21849,44.19647
NSBS-Hayley,2014-06-24 17:10:30,-63.07414,44.06625
NSBS-Hayley,2014-06-24 18:02:25,-63.07414,44.06625
NSBS-Hayley,2014-06-25 11:30:45,-63.15083,43.96465
NSBS-Hayley,2014-06-22 19:02:26,-63.20007,44.17948
NSBS-Hayley,2014-06-22 18:49:47,-63.20007,44.17948
NSBS-Hayley,2014-07-18 08:53:22,-63.45589,44.40863
NSBS-Hayley,2014-07-18 09:01:07,-63.45589,44.40863
NSBS-Hayley,2014-07-18 06:50:50,-63.46863,44.42003
NSBS-Hayley,2014-07-18 02:42:07,-63.46863,44.42003
NSBS-Hayley,2014-07-18 08:10:01,-63.46863,44.42003
NSBS-Hayley,2014-07-18 07:03:33,-63.46863,44.42003
NSBS-Hayley,2014-06-22 19:05:36,-63.20632,44.18508
NSBS-Hayley,2014-06-23 21:20:55,-63.07414,44.06625
NSBS-Hayley,2014-06-23 22:00:30,-63.07414,44.06625
NSBS-Hayley,2014-06-25 11:01:01,-63.14147,43.97717
NSBS-Hayley,2014-06-25 10:32:40,-63.14147,43.97717
NSBS-Hayley,2013-08-03 09:28:03,-63.22483,44.2021
NSBS-Hayley,2014-07-01 10:44:53,-63.17499,44.15686
NSBS-Hayley,2014-07-01 11:00:34,-63.17499,44.15686
NSBS-Hayley,2014-07-01 10:57:42,-63.18116,44.16265
NSBS-Hayley,2014-07-01 11:01:28,-63.18116,44.16265
NSBS-Hayley,2014-06-27 22:35:46,-63.33867,44.30479
NSBS-Hayley,2014-06-27 22:36:42,-63.33237,44.29906
NSBS-Hayley,2014-06-26 21:07:40,-63.0792,44.05994
NSBS-Hayley,2014-07-18 07:17:10,-63.46218,44.41458
NSBS-Hayley,2014-07-18 06:03:35,-63.46218,44.41458
NSBS-Hayley,2014-07-18 08:15:44,-63.46218,44.41458
NSBS-Hayley,2014-07-18 03:05:35,-63.46218,44.41458
NSBS-Hayley,2014-07-18 05:01:14,-63.46218,44.41458
NSBS-Hayley,2014-07-18 04:11:38,-63.46218,44.41458
NSBS-Hayley,2014-06-25 10:31:48,-63.14619,43.97074
NSBS-Hayley,2014-06-25 11:01:25,-63.14619,43.97074
NSBS-Hayley,2014-06-26 21:18:20,-63.07414,44.06625
NSBS-Hayley,2014-06-27 22:47:15,-63.34534,44.3106
NSBS-Hayley,2014-06-26 03:04:17,-63.16059,43.95173
NSBS-Hayley,2013-08-01 00:00:00,-63.22008,44.18111
NSBS-Hayley,2014-07-18 03:34:23,-63.45589,44.40863
NSBS-Hayley,2014-07-18 01:23:13,-63.47511,44.42628
NSBS-Hayley,2014-07-18 02:21:35,-63.47511,44.42628
NSBS-Hayley,2014-06-23 20:58:43,-63.08709,44.07761
NSBS-Hayley,2014-07-22 11:51:00,-63.20007,44.17948
NSBS-Hayley,2014-07-22 12:00:53,-63.20007,44.17948
NSBS-Hayley,2014-07-18 09:15:55,-63.44875,44.403
NSBS-Hayley,2014-06-24 16:28:38,-63.08709,44.07761
NSBS-Hayley,2014-06-23 21:14:39,-63.08086,44.07209
NSBS-Hayley,2014-06-23 20:46:19,-63.08086,44.07209
NSBS-Hayley,2014-06-22 18:47:17,-63.19376,44.17387
NSBS-Hayley,2014-06-22 19:01:55,-63.19376,44.17387
NSBS-Hayley,2014-06-22 19:25:59,-63.21268,44.19071
NSBS-Hayley,2014-06-24 18:08:05,-63.08357,44.05354
NSBS-Hayley,2014-06-25 10:10:42,-63.1366,43.98365
NSBS-Hayley,2014-07-22 12:00:02,-63.19376,44.17387
NSBS-Hayley,2014-07-22 11:18:23,-63.19376,44.17387
