id,date,lon,lat
NSBS-Janina,2013-08-01 00:43:00,-63.31953,44.28733
NSBS-Janina,2013-08-02 09:06:26,-63.31953,44.28733
NSBS-Janina,2013-08-04 01:30:41,-63.18719,44.16818
NSBS-Janina,2013-08-01 00:53:18,-63.31293,44.28155
NSBS-Janina,2013-07-31 22:19:37,-63.36478,44.32771
NSBS-Janina,2013-07-31 21:31:07,-63.37781,44.33924
NSBS-Janina,2013-08-02 10:04:27,-63.31953,44.28733
NSBS-Janina,2014-10-23 07:32:24,-59.76759,47.39913
NSBS-Janina,2013-08-02 11:02:58,-63.31293,44.28155
NSBS-Janina,2013-08-02 10:46:35,-63.31293,44.28155
NSBS-Janina,2014-10-23 07:22:36,-59.75919,47.40339
NSBS-Janina,2013-07-31 22:59:00,-63.35866,44.32235
NSBS-Janina,2013-07-31 23:00:57,-63.35866,44.32235
NSBS-Janina,2013-07-31 00:00:00,-63.24687,44.22348
NSBS-Janina,2013-07-31 23:05:54,-63.35154,44.31668
NSBS-Janina,2013-07-31 23:10:49,-63.34534,44.3106
NSBS-Janina,2013-07-31 21:14:13,-63.38422,44.34509
NSBS-Janina,2013-07-31 23:40:22,-63.33237,44.29906
NSBS-Janina,2013-07-31 16:38:25,-63.42311,44.37983
NSBS-Janina,2013-07-31 23:29:15,-63.33867,44.30479
NSBS-Janina,2013-07-31 21:00:23,-63.39089,44.35144
NSBS-Janina,2013-07-31 17:01:00,-63.42997,44.3855
NSBS-Janina,2013-07-31 16:45:42,-63.42997,44.3855
NSBS-Janina,2013-08-02 10:48:39,-63.30617,44.27545
NSBS-Janina,2013-08-02 11:00:56,-63.30617,44.27545
NSBS-Janina,2014-10-04 22:17:11,-59.39456,47.57931
NSBS-Janina,2013-08-01 00:02:49,-63.33237,44.29906
NSBS-Janina,2013-07-31 16:32:50,-63.4169,44.37417
NSBS-Janina,2013-08-01 00:03:04,-63.32598,44.29311
NSBS-Janina,2013-08-02 09:26:37,-63.32598,44.29311
NSBS-Janina,2013-07-31 22:02:27,-63.3713,44.33408
