id,date,lon,lat
NSBS-KRISTINA,2015-08-18 23:27:36,-63.42997,44.3855
NSBS-KRISTINA,2015-08-20 00:48:35,-63.42997,44.3855
NSBS-KRISTINA,2015-08-20 01:01:01,-63.42997,44.3855
NSBS-KRISTINA,2015-08-20 00:53:09,-63.42311,44.37983
NSBS-KRISTINA,2015-08-20 01:01:03,-63.42311,44.37983
NSBS-KRISTINA,2015-08-18 01:25:13,-63.44875,44.403
NSBS-KRISTINA,2015-08-19 12:02:35,-63.31992,44.28729
NSBS-KRISTINA,2015-08-19 11:33:51,-63.31992,44.28729
NSBS-KRISTINA,2015-08-19 15:09:23,-63.3612,44.32333
NSBS-KRISTINA,2015-08-18 01:00:20,-63.44258,44.39703
NSBS-KRISTINA,2015-08-18 00:52:46,-63.44258,44.39703
NSBS-KRISTINA,2015-08-19 04:15:47,-63.35154,44.31668
NSBS-KRISTINA,2015-08-19 03:09:27,-63.3713,44.33408
NSBS-KRISTINA,2015-08-19 15:04:14,-63.3713,44.33408
NSBS-KRISTINA,2015-08-20 01:12:16,-63.43603,44.39144
NSBS-KRISTINA,2015-08-19 19:23:27,-63.39103,44.35121
NSBS-KRISTINA,2015-08-19 10:00:53,-63.28784,44.25865
NSBS-KRISTINA,2015-08-19 04:33:31,-63.3612,44.32333
NSBS-KRISTINA,2015-08-19 02:33:59,-63.37781,44.33924
NSBS-KRISTINA,2015-08-18 12:14:06,-63.46218,44.41458
NSBS-KRISTINA,2015-08-19 12:37:22,-63.34534,44.3106
NSBS-KRISTINA,2015-08-19 14:03:56,-63.36478,44.32771
NSBS-KRISTINA,2015-08-19 00:33:56,-63.4169,44.37417
NSBS-KRISTINA,2015-08-20 05:19:47,-63.48719,44.43825
NSBS-KRISTINA,2015-08-19 10:46:05,-63.29042,44.26662
NSBS-KRISTINA,2015-08-19 11:17:30,-63.3131,44.28173
NSBS-KRISTINA,2015-08-19 12:07:50,-63.33867,44.30479
NSBS-KRISTINA,2015-08-19 12:01:24,-63.32598,44.29311
NSBS-KRISTINA,2015-08-19 11:34:36,-63.32598,44.29311
NSBS-KRISTINA,2015-08-20 03:22:50,-63.46863,44.42003
NSBS-KRISTINA,2015-08-19 11:11:41,-63.30295,44.27574
NSBS-KRISTINA,2015-08-18 12:14:06,-63.45589,44.40863
NSBS-KRISTINA,2015-08-18 23:00:36,-63.44258,44.39703
NSBS-KRISTINA,2015-08-18 22:42:05,-63.44258,44.39703
NSBS-KRISTINA,2015-08-20 01:30:54,-63.44258,44.39703
NSBS-KRISTINA,2015-08-17 21:11:23,-63.39103,44.35121
NSBS-KRISTINA,2015-08-19 09:48:59,-63.28102,44.25293
NSBS-KRISTINA,2015-08-18 23:09:59,-63.43603,44.39144
NSBS-KRISTINA,2015-08-18 12:36:50,-63.46863,44.42003
NSBS-KRISTINA,2015-08-19 19:01:39,-63.39752,44.35715
NSBS-KRISTINA,2015-08-19 18:36:17,-63.39752,44.35715
NSBS-KRISTINA,2015-08-19 00:00:39,-63.42311,44.37983
NSBS-KRISTINA,2015-08-19 04:02:00,-63.34534,44.3106
NSBS-KRISTINA,2015-08-16 00:00:00,-63.20366,44.20681
NSBS-KRISTINA,2015-08-20 03:36:28,-63.47511,44.42628
NSBS-KRISTINA,2015-08-18 00:38:04,-63.43603,44.39144
NSBS-KRISTINA,2015-08-17 23:16:45,-63.42311,44.37983
NSBS-KRISTINA,2015-08-19 11:00:31,-63.29844,44.27141
NSBS-KRISTINA,2015-08-19 03:09:07,-63.36478,44.32771
NSBS-KRISTINA,2015-08-19 09:23:39,-63.28784,44.25865
NSBS-KRISTINA,2015-08-20 02:03:31,-63.44875,44.403
NSBS-KRISTINA,2015-08-19 11:44:30,-63.33237,44.29906
NSBS-KRISTINA,2015-08-19 12:00:33,-63.33237,44.29906
NSBS-KRISTINA,2015-08-17 23:28:13,-63.4169,44.37417
NSBS-KRISTINA,2015-08-20 05:06:27,-63.48128,44.43244
