id,date,lon,lat
NSBS-Meeko,2013-08-12 02:52:03,-63.31953,44.28733
NSBS-Meeko,2013-08-12 03:00:31,-63.31953,44.28733
NSBS-Meeko,2013-08-02 00:00:00,-63.25824,44.20345
NSBS-Meeko,2013-08-21 22:15:31,-63.25,44.2204
NSBS-Meeko,2013-08-21 16:08:33,-63.18719,44.16818
NSBS-Meeko,2013-08-21 16:10:15,-63.18081,44.16254
NSBS-Meeko,2013-08-21 22:37:37,-63.25615,44.23037
NSBS-Meeko,2013-08-20 04:00:41,-63.27482,44.24781
NSBS-Meeko,2013-08-20 21:20:20,-63.32598,44.29311
NSBS-Meeko,2013-08-12 01:48:33,-63.34534,44.3106
NSBS-Meeko,2013-08-21 22:07:13,-63.24361,44.21905
NSBS-Meeko,2013-08-12 01:17:59,-63.36478,44.32771
NSBS-Meeko,2013-08-24 14:43:45,-63.29373,44.26424
NSBS-Meeko,2013-08-24 15:01:24,-63.29373,44.26424
NSBS-Meeko,2013-08-24 13:26:30,-63.29373,44.26424
NSBS-Meeko,2013-08-24 12:30:44,-63.30617,44.27545
NSBS-Meeko,2013-08-24 13:00:46,-63.30617,44.27545
NSBS-Meeko,2013-08-24 14:01:28,-63.30617,44.27545
NSBS-Meeko,2013-08-07 05:50:57,-63.27482,44.24781
NSBS-Meeko,2013-08-07 06:01:53,-63.27482,44.24781
NSBS-Meeko,2013-08-24 02:52:17,-63.35154,44.31668
NSBS-Meeko,2013-08-24 03:06:24,-63.35154,44.31668
NSBS-Meeko,2013-08-05 06:41:24,-63.35866,44.32235
NSBS-Meeko,2013-08-21 22:59:45,-63.26229,44.23613
NSBS-Meeko,2013-08-21 23:03:03,-63.26229,44.23613
NSBS-Meeko,2013-08-20 22:05:52,-63.31953,44.28733
NSBS-Meeko,2013-08-12 02:26:13,-63.32598,44.29311
NSBS-Meeko,2013-08-24 02:30:28,-63.34534,44.3106
NSBS-Meeko,2013-08-12 01:50:39,-63.35154,44.31668
NSBS-Meeko,2013-08-05 06:27:50,-63.35154,44.31668
NSBS-Meeko,2013-08-21 21:05:24,-63.23083,44.20774
NSBS-Meeko,2013-08-24 10:55:32,-63.33867,44.30479
NSBS-Meeko,2013-08-24 12:02:00,-63.31953,44.28733
NSBS-Meeko,2013-08-12 02:01:23,-63.33867,44.30479
NSBS-Meeko,2013-08-24 10:54:45,-63.33237,44.29906
NSBS-Meeko,2013-08-24 11:02:20,-63.33237,44.29906
NSBS-Meeko,2013-08-24 12:14:59,-63.31293,44.28155
NSBS-Meeko,2013-08-21 22:00:50,-63.23725,44.21325
NSBS-Meeko,2013-08-21 21:20:40,-63.23725,44.21325
NSBS-Meeko,2013-08-12 01:12:39,-63.3713,44.33408
NSBS-Meeko,2013-08-24 15:01:55,-63.29994,44.27004
NSBS-Meeko,2013-08-24 13:10:34,-63.29994,44.27004
NSBS-Meeko,2013-08-24 14:01:42,-63.29994,44.27004
NSBS-Meeko,2013-08-12 02:07:54,-63.33237,44.29906
NSBS-Meeko,2013-08-12 03:02:30,-63.31293,44.28155
NSBS-Meeko,2013-08-24 11:21:22,-63.32598,44.29311
NSBS-Meeko,2013-08-12 01:49:29,-63.35866,44.32235
NSBS-Meeko,2013-08-07 05:57:57,-63.26906,44.24103
NSBS-Meeko,2013-08-07 06:01:51,-63.26906,44.24103
NSBS-Meeko,2013-08-21 16:21:27,-63.17462,44.15686
NSBS-Meeko,2013-08-20 21:02:25,-63.33237,44.29906
NSBS-Meeko,2013-08-20 04:00:39,-63.26906,44.24103
NSBS-Meeko,2013-08-21 16:54:16,-63.16193,44.14554
NSBS-Meeko,2013-08-21 16:36:07,-63.16835,44.1512
NSBS-Meeko,2013-08-21 17:04:50,-63.16835,44.1512
