id,date,lon,lat
NSBS-Tika,2013-07-31 00:00:00,-63.24852,44.20386
NSBS-Tika,2013-08-01 01:00:25,-63.31293,44.28155
NSBS-Tika,2013-08-01 00:51:14,-63.31293,44.28155
NSBS-Tika,2013-08-02 23:42:18,-63.28739,44.25864
NSBS-Tika,2013-08-03 00:50:55,-63.28113,44.25327
NSBS-Tika,2013-08-03 01:00:51,-63.28113,44.25327
NSBS-Tika,2013-08-03 00:00:41,-63.28739,44.25864
NSBS-Tika,2013-08-03 01:17:21,-63.27482,44.24781
NSBS-Tika,2013-08-01 01:00:22,-63.31953,44.28733
NSBS-Tika,2013-08-01 00:51:14,-63.31953,44.28733
