"id","date","lc","lon","lat"
"160424_2016_106744",2016-08-27 23:29:04,"0",-69.157,41.416
"160424_2016_106744",2016-08-27 23:29:35,"0",-69.1574,41.4156
"160424_2016_106744",2016-08-27 23:34:48,"0",-69.183,41.351
"160424_2016_106744",2016-08-27 23:34:51,"0",-69.1832,41.3514
"160424_2016_106744",2016-08-28 09:16:22,"0",-108.141,48.795
"160424_2016_106744",2016-08-28 09:19:30,"0",-108.1407,48.7955
"160424_2016_106744",2016-08-28 09:26:17,"1",-69.1326,41.3268
"160424_2016_106744",2016-08-28 09:29:55,"1",-69.133,41.327
"160424_2016_106744",2016-08-28 09:49:14,"0",-69.075,41.309
"160424_2016_106744",2016-08-28 09:55:12,"0",-69.075,41.3091
"160424_2016_106744",2016-08-28 10:05:47,"B",-68.926,41.314
"160424_2016_106744",2016-08-28 10:06:09,"B",-68.926,41.3135
"160424_2016_106744",2016-08-28 11:06:13,"0",-69.1432,41.3101
"160424_2016_106744",2016-08-28 11:08:32,"0",-69.143,41.31
"160424_2016_106744",2016-08-28 19:01:44,"0",-75.608,40.165
"160424_2016_106744",2016-08-28 19:03:27,"0",-75.6085,40.1645
"160424_2016_106744",2016-08-28 20:49:15,"A",-69.3032,41.4194
"160424_2016_106744",2016-08-28 20:50:02,"A",-69.303,41.419
"160424_2016_106744",2016-08-28 21:31:53,"1",-69.148,41.368
"160424_2016_106744",2016-08-28 21:35:35,"1",-69.1481,41.3676
"160424_2016_106744",2016-08-28 22:07:49,"A",-69.049,41.407
"160424_2016_106744",2016-08-28 22:08:33,"A",-69.0486,41.4074
"160424_2016_106744",2016-08-28 22:30:29,"B",-69.0464,41.3606
"160424_2016_106744",2016-08-28 23:43:54,"0",-69.0242,41.4247
"160424_2016_106744",2016-08-28 23:45:50,"0",-69.024,41.425
"160424_2016_106744",2016-08-29 01:51:09,"B",-69.965,41.545
"160424_2016_106744",2016-08-29 01:51:39,"B",-69.9649,41.5446
"160424_2016_106744",2016-08-29 09:20:23,"B",-69.153,41.31
"160424_2016_106744",2016-08-29 09:20:48,"B",-69.1534,41.3096
"160424_2016_106744",2016-08-29 09:55:12,"A",-69.308,41.356
"160424_2016_106744",2016-08-29 09:56:01,"A",-69.3076,41.3556
"160424_2016_106744",2016-08-29 10:35:51,"B",-69.199,41.373
"160424_2016_106744",2016-08-29 10:36:20,"B",-69.1989,41.3727
"160424_2016_106744",2016-08-29 12:17:11,"B",-69.271,41.336
"160424_2016_106744",2016-08-29 12:17:34,"B",-69.2712,41.3359
"160424_2016_106744",2016-08-29 20:19:45,"1",-69.12,41.372
"160424_2016_106744",2016-08-29 20:22:29,"1",-69.1202,41.3723
"160424_2016_106744",2016-08-29 21:20:39,"0",-69.085,41.332
"160424_2016_106744",2016-08-29 21:24:27,"0",-69.0851,41.3317
"160424_2016_106744",2016-08-30 02:10:14,"B",-68.989,41.53
"160424_2016_106744",2016-08-30 02:14:13,"B",-68.9887,41.5296
"160424_2016_106744",2016-08-30 08:51:33,"A",-69.1563,41.4734
"160424_2016_106744",2016-08-30 08:55:43,"0",-69.09,41.4893
"160424_2016_106744",2016-08-30 08:59:55,"0",-69.09,41.489
"160424_2016_106744",2016-08-30 09:44:20,"A",-69.3798,41.6977
"160424_2016_106744",2016-08-30 09:44:44,"A",-69.38,41.698
"160424_2016_106744",2016-08-30 10:12:55,"1",-69.161,41.503
"160424_2016_106744",2016-08-30 10:15:49,"1",-69.1609,41.5027
"160424_2016_106744",2016-08-30 21:13:10,"1",-69.2841,41.3668
"160424_2016_106744",2016-08-30 21:15:48,"1",-69.284,41.367
"160424_2016_106744",2016-08-30 22:41:28,"0",-69.321,41.366
"160424_2016_106744",2016-08-30 22:45:11,"0",-69.3212,41.3655
"160424_2016_106744",2016-08-30 22:53:22,"0",-69.3079,41.354
"160424_2016_106744",2016-08-30 22:57:59,"0",-69.308,41.354
"160424_2016_106744",2016-08-31 01:48:44,"B",-69.064,41.446
"160424_2016_106744",2016-08-31 01:50:09,"B",-69.0642,41.4464
"160424_2016_106744",2016-08-31 07:04:13,"0",-69.35,41.213
"160424_2016_106744",2016-08-31 07:05:25,"0",-69.3497,41.2126
"160424_2016_106744",2016-08-31 20:58:29,"2",-69.089,41.011
"160424_2016_106744",2016-08-31 21:02:03,"2",-69.0889,41.0112
"160424_2016_106744",2016-08-31 21:12:51,"1",-69.0968,40.986
"160424_2016_106744",2016-08-31 21:17:25,"1",-69.097,40.986
"160424_2016_106744",2016-08-31 22:13:18,"1",-69.0841,40.9905
"160424_2016_106744",2016-08-31 22:17:01,"1",-69.084,40.99
"160424_2016_106744",2016-08-31 22:42:11,"1",-69.076,41.002
"160424_2016_106744",2016-08-31 22:42:34,"1",-69.0763,41.0019
"160424_2016_106744",2016-08-31 22:52:05,"1",-69.08,40.9982
"160424_2016_106744",2016-09-01 18:15:57,"0",-68.852,41.293
"160424_2016_106744",2016-09-01 20:48:42,"0",-68.785,41.435
"160424_2016_106744",2016-09-02 01:10:11,"0",-68.858,41.458
"160424_2016_106744",2016-09-02 02:48:06,"A",-68.417,41.481
"160424_2016_106744",2016-09-03 00:46:57,"B",-68.559,41.904
"160424_2016_106744",2016-09-03 14:02:09,"B",-68.885,42.024
"160424_2016_106744",2016-09-03 15:40:24,"0",-68.938,42.064
"160424_2016_106744",2016-09-03 21:36:32,"0",-69.148,42.035
"160424_2016_106744",2016-09-03 22:19:39,"1",-69.141,42.045
"160424_2016_106744",2016-09-05 20:06:44,"B",-69.217,41.375
"160424_2016_106744",2016-09-05 20:48:59,"0",-69.24,41.325
"160424_2016_106744",2016-09-05 21:17:19,"B",-69.246,41.33
"160424_2016_106744",2016-09-06 20:23:23,"1",-68.427,41.643
"160424_2016_106744",2016-09-06 21:33:51,"3",-68.383,41.692
"160424_2016_106744",2016-09-06 22:03:36,"0",-68.35,41.703
"160424_2016_106744",2016-09-06 22:29:02,"1",-68.327,41.706
"160424_2016_106744",2016-09-07 21:22:47,"0",-67.626,42.076
"160424_2016_106744",2016-09-07 21:38:44,"0",-67.584,42.054
"160424_2016_106744",2016-09-07 21:54:44,"1",-67.591,42.034
"160424_2016_106744",2016-09-07 23:32:36,"0",-67.553,42.039
"160424_2016_106744",2016-09-08 00:04:41,"B",-67.523,42.053
"160424_2016_106744",2016-09-08 18:33:56,"B",-67.053,42.21
"160424_2016_106744",2016-09-08 20:21:45,"0",-66.855,42.15
"160424_2016_106744",2016-09-09 22:33:03,"A",-66.513,42.15
"160424_2016_106744",2016-09-10 00:07:39,"B",-66.359,42.032
"160424_2016_106744",2016-09-10 00:58:53,"0",-66.408,42.067
"160424_2016_106744",2016-09-10 18:16:28,"B",-65.935,41.804
"160424_2016_106744",2016-09-10 20:24:58,"0",-65.997,41.8
"160424_2016_106744",2016-09-11 18:04:56,"0",-65.698,42.1
"160424_2016_106744",2016-09-11 23:07:05,"0",-65.777,42.203
"160424_2016_106744",2016-09-12 11:33:01,"0",-66.285,42.308
"160424_2016_106744",2016-09-12 12:17:45,"2",-66.325,42.319
"160424_2016_106744",2016-09-12 19:34:09,"0",-66.476,42.241
"160424_2016_106744",2016-09-12 20:23:30,"0",-66.491,42.221
"160424_2016_106744",2016-09-13 02:23:47,"0",-66.602,42.124
"160424_2016_106744",2016-09-13 20:50:01,"0",-66.915,42.091
"160424_2016_106744",2016-09-13 21:50:19,"0",-67.022,42.061
"160424_2016_106744",2016-09-13 22:07:11,"A",-66.859,42.062
"160424_2016_106744",2016-09-13 22:23:46,"A",-66.567,42.312
"160424_2016_106744",2016-09-13 23:45:19,"0",-66.881,42.062
"160424_2016_106744",2016-09-14 19:09:18,"1",-66.806,42.062
"160424_2016_106744",2016-09-14 22:03:31,"1",-66.829,42.101
"160424_2016_106744",2016-09-15 18:59:21,"0",-66.807,42.115
"160424_2016_106744",2016-09-16 00:25:47,"B",-66.703,42.127
"160424_2016_106744",2016-09-17 07:10:40,"2",-65.835,41.607
"160424_2016_106744",2016-09-18 11:05:19,"A",-68.261,41.626
"160424_2016_106744",2016-09-19 16:34:48,"B",-66.096,41.1
"160424_2016_106744",2016-09-20 14:47:50,"0",-66.502,41.052
"160424_2016_106744",2016-09-20 16:24:36,"A",-66.12,40.9
"160424_2016_106744",2016-09-21 06:28:34,"0",-66.235,41.125
"160424_2016_106744",2016-09-21 09:28:15,"0",-26.681,33.211
"160424_2016_106744",2016-09-21 09:43:41,"A",-66.108,41.219
"160424_2016_106744",2016-09-21 20:51:35,"B",-66.046,41.281
"160424_2016_106744",2016-09-21 21:17:36,"0",-19.868,31.847
"160424_2016_106744",2016-09-21 22:27:14,"1",-66.067,41.238
"160424_2016_106744",2016-09-22 11:58:34,"0",-65.887,40.85
"160424_2016_106744",2016-09-22 13:15:13,"0",-66.035,41.045
"160424_2016_106744",2016-09-22 14:05:25,"1",-66.067,41.041
"160424_2016_106744",2016-09-22 21:51:09,"1",-65.969,40.981
"160424_2016_106744",2016-09-23 00:30:40,"B",-65.959,41.033
"160424_2016_106744",2016-09-23 07:41:24,"0",-65.884,40.973
"160424_2016_106744",2016-09-23 09:45:04,"0",-66.049,41.017
"160424_2016_106744",2016-09-24 05:48:19,"0",-66.091,41.368
"160424_2016_106744",2016-09-24 07:28:58,"2",-66.077,41.377
"160424_2016_106744",2016-09-24 10:02:02,"B",-66.161,41.411
"160424_2016_106744",2016-09-24 22:54:11,"1",-66.334,41.698
"160424_2016_106744",2016-09-25 20:28:11,"0",-116.164,31.536
"160424_2016_106744",2016-09-25 20:46:46,"A",-66.413,41.764
"160424_2016_106744",2016-09-25 22:32:26,"1",-66.138,42.019
"160424_2016_106744",2016-09-25 22:54:51,"1",-66.142,42.031
"160424_2016_106744",2016-09-26 20:14:15,"0",-66.043,41.899
"160424_2016_106744",2016-09-26 22:41:38,"0",-66.391,42.013
"160424_2016_106744",2016-09-27 20:04:30,"1",-66.178,41.829
"160424_2016_106744",2016-09-27 21:30:56,"A",-66.177,41.77
"160424_2016_106744",2016-09-27 23:14:44,"A",-65.939,41.747
"160424_2016_106744",2016-09-27 23:18:11,"0",-66.165,41.775
"160424_2016_106744",2016-09-28 23:59:25,"B",-66.064,41.355
"160424_2016_106744",2016-09-29 09:53:53,"B",-66.023,41.285
"160424_2016_106744",2016-09-29 09:58:13,"0",-65.727,41.356
"160424_2016_106744",2016-09-29 10:41:48,"0",-66.01,41.311
