Deployment.ID,ptt,start,end,notes
160424_2016_106744,106744,3/8/17 22:30,3/8/17 22:30,NA
160424_2016_106744,106744,9/18/16 11:05,9/18/16 11:05,NA
160424_2016_106746,106746,12/1/16 19:22,12/1/16 19:22,NA
160424_2016_106747,106747,7/30/17 7:14,8/11/17 19:44,NA
160424_2016_106747,106747,10/18/16 23:56,10/18/16 23:56,NA
160424_2016_106748,106748,10/20/16 22:54,10/22/16 21:54,NA
160424_2013_132346,132346,3/19/14 0:00,6/19/14 0:15,NA
160424_2014_141195,141195,7/13/14 14:50,7/13/14 16:55,NA
160424_2014_141195,141195,9/15/14 17:13,9/22/14 17:13,capture
160424_2015_141261,141261,8/3/16 9:48,8/3/16 9:48,NA
160424_2015_141261,141261,10/14/15 17:18,10/14/15 17:18,NA
160424_2016_141263,141263,11/4/16 17:13,1/24/17 2:43,capture
160424_2015_141264,141264,11/22/15 13:26,11/22/15 13:28,NA
160424_2015_141264,141264,11/22/15 2:47,11/22/15 2:49,NA
160424_2015_141264,141264,10/28/15 19:44,10/28/15 19:44,NA
160424_2016_141265,141265,12/9/16 9:44,12/18/16 0:54,NA
160424_2016_141265,141265,1/1/17 22:23,1/1/17 22:23,NA
160424_2015_141270,141270,10/23/15 9:29,10/23/15 9:30,NA
160424_2015_141270,141270,5/11/17 1:14,5/14/17 0:18,NA
